Дата заключения,Дата расчетов,Время заключения,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
27.09.2024,30.09.2024,12:22:43,МТС-ао,MTSS,RUB,Покупка,10,206.75,2067.50,0.00,1.24,0.62,11236710588,,И
27.09.2024,30.09.2024,12:24:00,МосБиржа,MOEX,RUB,Покупка,10,212.71,2127.10,0.00,1.28,0.64,11236717114,,И
27.09.2024,30.09.2024,12:25:01,Роснефть,ROSN,RUB,Покупка,1,510.95,510.95,0.00,0.30,0.16,11236721704,,И
27.09.2024,30.09.2024,12:25:41,Новатэкао,NVTK,RUB,Покупка,1,1017.4,1017.40,0.00,0.61,0.31,11236725083,,И
27.09.2024,30.09.2024,12:26:32,Сургнфгз,SNGS,RUB,Покупка,100,25.045,2504.50,0.00,1.51,0.75,11236729153,,И
27.09.2024,30.09.2024,12:27:11,РусГидро,HYDR,RUB,Покупка,1000,0.5524,552.40,0.00,0.33,0.17,11236732082,,И
27.09.2024,30.09.2024,12:28:00,SBMMETF,SBMM,RUB,Покупка,100,13.818,1381.80,0.00,0.00,0.42,11236735810,,И
27.09.2024,30.09.2024,12:29:42,SBMMETF,SBMM,RUB,Продажа,100,13.8175,1381.75,0.00,0.00,0.42,11236744169,,И
27.09.2024,30.09.2024,12:32:22,ГазпромКP3,RU000A101QM3,RUB,Покупка,1,92.12,921.20,19.52,0.55,0.08,11236756490,,И
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,И
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,И
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,И
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,И
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,И
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,И
